,sex,length,diameter,height,wholeWeight,shuckedWeight,visceraWeight,shellWeight,rings
0,I,0.35,0.27,0.09,0.2055,0.075,0.0575,0.062,6
1,I,0.55,0.425,0.15,0.806,0.376,0.171,0.245,14
2,F,0.59,0.44,0.14,1.007,0.4775,0.2105,0.2925,9
3,F,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12
4,I,0.54,0.4,0.145,0.757,0.315,0.181,0.215,11
5,I,0.42,0.31,0.095,0.279,0.1255,0.051,0.088,6
6,I,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,7
7,M,0.55,0.42,0.145,0.7385,0.321,0.1485,0.252,11
8,F,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12
9,F,0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855,11
10,F,0.66,0.525,0.18,1.5965,0.7765,0.397,0.3605,10
11,F,0.515,0.4,0.115,0.578,0.191,0.1445,0.17,9
12,M,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,16
13,F,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,12
14,I,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9
15,F,0.47,0.375,0.105,0.513,0.232,0.142,0.13,11
16,F,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12
17,F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11
18,M,0.415,0.315,0.12,0.4015,0.199,0.087,0.097,8
19,F,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,27
20,M,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,8
21,I,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,6
22,F,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9
23,I,0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,9
24,M,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,8
25,M,0.6,0.48,0.155,1.014,0.451,0.1885,0.325,11
26,I,0.515,0.405,0.13,0.573,0.213,0.134,0.195,9
27,F,0.675,0.53,0.195,1.4985,0.62,0.375,0.425,9
28,I,0.55,0.435,0.125,0.741,0.348,0.1585,0.206,9
29,F,0.605,0.46,0.17,1.122,0.347,0.3045,0.315,13
30,I,0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,6
31,F,0.62,0.47,0.225,1.115,0.378,0.2145,0.36,15
32,I,0.415,0.33,0.1,0.3905,0.1925,0.0755,0.1025,7
33,F,0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,7
34,F,0.65,0.52,0.195,1.281,0.5985,0.246,0.3825,10
35,M,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10
36,M,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,9
37,I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6
38,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
39,F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20
40,M,0.7,0.565,0.18,1.751,0.895,0.3355,0.446,9
41,M,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8
42,M,0.68,0.52,0.195,1.4535,0.592,0.391,0.4125,10
43,F,0.655,0.52,0.2,1.5475,0.713,0.314,0.466,9
44,I,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16,8
45,F,0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,10
46,F,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11
47,M,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,16
48,I,0.385,0.265,0.08,0.251,0.124,0.037,0.07,6
49,I,0.605,0.495,0.145,1.054,0.369,0.2255,0.36,12
50,F,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9
51,F,0.68,0.51,0.2,1.6075,0.714,0.339,0.4705,11
52,F,0.65,0.52,0.195,1.6275,0.689,0.3905,0.432,11
53,M,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,9
54,F,0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,9
55,M,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,10
56,I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013,4
57,F,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10
58,I,0.455,0.33,0.1,0.372,0.358,0.0775,0.11,8
59,F,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,9
60,F,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,9
61,F,0.645,0.48,0.19,1.371,0.6925,0.2905,0.35,12
62,M,0.54,0.42,0.19,0.6855,0.293,0.163,0.38,10
63,F,0.595,0.465,0.15,1.1005,0.5415,0.166,0.265,8
64,M,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,9
65,M,0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10
66,I,0.34,0.265,0.07,0.185,0.0625,0.0395,0.07,7
67,M,0.51,0.38,0.135,0.681,0.3435,0.142,0.17,9
